This list contains all games supported by FB Alpha.

434 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
; cawingr1	;  	; Carrier Air Wing (U.S. navy 901009 etc)		; cawing	; 1990	; Capcom	; CPS1		; 					;
; cawing	;  	; Carrier Air Wing (U.S. navy 901012 etc)		; 		; 1990	; Capcom	; CPS1		; 					;
; cawingu	;  	; Carrier Air Wing (U.S. navy 901012 USA)		; cawing	; 1990	; Capcom	; CPS1		; 					;
; cps1demo	;  	; Chaos Demo (CPS-1)					; 		; 2000	; Chaos		; CPS1		; 					;
; chikij	;  	; Chiki Chiki Boys (900619 Japan)			; mtwins	; 1990	; Capcom	; CPS1		; 					;
; choko		;  	; Choko (010820 Japan)					; 		; 2001	; Mitchell	; CPS2		; 					;
; cybotsj	;  	; Cyberbots - fullmetal madness (950420 Japan)		; cybots	; 1995	; Capcom	; CPS2		; 					;
; cybots	;  	; Cyberbots - fullmetal madness (950424 Euro)		; 		; 1995	; Capcom	; CPS2		; 					;
; cybotsu	;  	; Cyberbots - fullmetal madness (950424 USA)		; cybots	; 1995	; Capcom	; CPS2		; 					;
; daimakr2	;  	; Dai Makai-Mura (Japan hack?)				; ghouls	; 1988	; Capcom	; CPS1		; 					;
; daimakai	;  	; Dai Makai-Mura (Japan)				; ghouls	; 1988	; Capcom	; CPS1		; 					;
; daimakb	; D NW	; Dai Makai-Mura (Japan, bootleg)			; ghouls	; 1988	; Capcom	; CPS1		; No scroll layers			;
; dstlka	;  	; Darkstalkers - the night warriors (940705 Asia)	; dstlk		; 1994	; Capcom	; CPS2		; 					;
; dstlk		;  	; Darkstalkers - the night warriors (940705 Euro)	; 		; 1994	; Capcom	; CPS2		; 					;
; dstlku1d	;  	; Darkstalkers - the night warriors (940705 USA Phoenix ; dstlk		; 1994	; bootleg	; CPS2		; 					;
; dstlkur1	;  	; Darkstalkers - the night warriors (940705 USA)	; dstlk		; 1994	; Capcom	; CPS2		; 					;
; dstlku	;  	; Darkstalkers - the night warriors (940818 USA)	; dstlk		; 1994	; Capcom	; CPS2		; 					;
; dimahoo	;  	; Dimahoo (000121 Euro)					; 		; 2000	; 8ing / Raizing; CPS2		; 					;
; dimahoud	;  	; Dimahoo (000121 USA Phoenix Edition)			; dimahoo	; 2000	; bootleg	; CPS2		; 					;
; dimahoou	;  	; Dimahoo (000121 USA)					; dimahoo	; 2000	; 8ing / Raizing; CPS2		; 					;
; ddsomjr1	;  	; Dungeons & Dragons - shadow over mystara (960206 Japan; ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsomr3	;  	; Dungeons & Dragons - shadow over mystara (960208 Euro); ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsomr2	;  	; Dungeons & Dragons - shadow over mystara (960209 Euro); ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsomur1	;  	; Dungeons & Dragons - shadow over mystara (960209 USA)	; ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsomb	;  	; Dungeons & Dragons - shadow over mystara (960223 Brazi; ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsomr1	;  	; Dungeons & Dragons - shadow over mystara (960223 Euro); ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsoma	;  	; Dungeons & Dragons - shadow over mystara (960619 Asia); ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsom		;  	; Dungeons & Dragons - shadow over mystara (960619 Euro); 		; 1996	; Capcom	; CPS2		; 					;
; ddsomj	;  	; Dungeons & Dragons - shadow over mystara (960619 Japan; ddsom		; 1996	; Capcom	; CPS2		; 					;
; ddsomud	;  	; Dungeons & Dragons - shadow over mystara (960619 USA P; ddsom		; 1996	; bootleg	; CPS2		; 					;
; ddsomu	;  	; Dungeons & Dragons - shadow over mystara (960619 USA)	; ddsom		; 1996	; Capcom	; CPS2		; 					;
